timestamp,experiment_tag,lambda_AE,lambda_attack,tau_fixed,tau_perc,k_samples,test_stealth,test_exceed_fixed_tau,test_absr,test_impact,test_wgap,False_Alarm_nominal,Attack_Exceed
2026-02-21T13:37:04,truck_model_AE500_ATK0p01_LG1_LS1_LI1,500,0.01,0.065771528,0.063493997,4,0.970019342,0.029980658,0.023839269,0.001564953,-0.007982993,0.010315925,0.041263701
2026-02-21T13:38:52,truck_model_AE500_ATK2_LG1_LS1_LI1,500,2,0.065771528,0.063493997,4,0.961476467,0.038523533,0.023152899,0.001561999,-0.012984662,0.010315925,0.041908446
2026-02-21T13:25:04,truck_model_AE100_ATK5_LG1_LS1_LI1,100,5,0.065771528,0.063493997,4,0.911831077,0.088168923,0.031475268,0.002312434,-0.002450058,0.010315925,0.045132173
2026-02-21T13:29:33,truck_model_AE250_ATK2_LG1_LS1_LI1,250,2,0.065771528,0.063493997,4,0.941650549,0.058349451,0.030239356,0.00217985,-0.02244571,0.010315925,0.045132173
2026-02-21T13:39:18,truck_model_AE500_ATK3_LG1_LS1_LI1,500,3,0.065771528,0.063493997,4,0.948420374,0.051579626,0.027440517,0.00186567,-0.011126912,0.010315925,0.047066409
2026-02-21T13:32:06,truck_model_AE300_ATK10_LG1_LS1_LI1,300,10,0.065771528,0.063493997,4,0.91650548,0.08349452,0.02912883,0.002260683,-0.008270629,0.010315925,0.050934881
2026-02-21T13:21:29,truck_model_AE10_ATK5_LG1_LS1_LI1,10,5,0.065771528,0.063493997,4,0.721792392,0.278207608,0.045961869,0.004479831,-0.001609265,0.010315925,0.055448098
2026-02-21T13:35:04,truck_model_AE400_ATK1em03_LG1_LS1_LI1,400,0.001,0.065771528,0.063493997,4,0.881850419,0.118149581,0.039094477,0.002717348,-0.030419087,0.010315925,0.062540297
2026-02-21T13:38:55,truck_model_AE500_ATK10_LG1_LS1_LI1,500,10,0.065771528,0.063493997,4,0.930528691,0.069471309,0.028648329,0.002027691,-0.010948522,0.010315925,0.070921986
2026-02-21T13:32:09,truck_model_AE300_ATK5_LG1_LS1_LI1,300,5,0.065771528,0.063493997,4,0.947453256,0.052546744,0.028979852,0.002037031,-0.00966335,0.010315925,0.076079948
2026-02-21T13:28:29,truck_model_AE200_ATK2_LG1_LS1_LI1,200,2,0.065771528,0.063493997,4,0.805448098,0.194551902,0.040856251,0.003307241,-0.007228208,0.010315925,0.0896196
2026-02-21T13:28:30,truck_model_AE150_ATK5_LG1_LS1_LI1,150,5,0.065771528,0.063493997,4,0.837846551,0.162153449,0.035388135,0.002817446,-0.006891606,0.010315925,0.098001289
2026-02-21T13:28:27,truck_model_AE200_ATK1em03_LG1_LS1_LI1,200,0.001,0.065771528,0.063493997,4,0.927143778,0.072856222,0.027576471,0.00191126,-0.004997928,0.010315925,0.100580271
2026-02-21T13:32:27,truck_model_AE350_ATK0p01_LG1_LS1_LI1,350,0.01,0.065771528,0.063493997,4,0.876692457,0.123307543,0.035817303,0.002597373,-0.013962721,0.010315925,0.109606705
